gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
AP002813.1,-0.359835403433317,1.62015528423557,-4.63621243284745,5.64775524984644e-06,1.25397468617583e-05,2.78811577925195
DAXX,0.259096485143783,5.83455803661054,4.63610670085181,5.65041998898054e-06,1.25446133769416e-05,2.78766296839299
CBX3P2,0.250519665346443,1.25102409829007,4.63583041127134,5.65738896734853e-06,1.25590342077067e-05,2.78647976397067
AQP8,0.292932647919896,0.365301526356983,4.63536580430591,5.66912662347894e-06,1.25840251408083e-05,2.78449022864544
PPP1R14D,0.37627758975876,1.43883343425779,4.63534727280486,5.66959528228153e-06,1.25840251408083e-05,2.7844108767321
RNU7-47P,0.423735042961171,0.611540657935351,4.63497928496826,5.67890936621865e-06,1.26036437289421e-05,2.78283520784297
PCGF1,0.247455526809989,4.77848512227123,4.63487803387973,5.68147470029696e-06,1.26082822638733e-05,2.78240168437538
AC015802.5,-0.223047165315324,0.472441623813549,-4.63480968362443,5.68320707775842e-06,1.26110716868512e-05,2.78210903585409
CT66,-0.230665742643157,0.432771869341793,-4.63429059692609,5.69638024314843e-06,1.26392456988503e-05,2.77988663280784
HIF1A-AS3,-0.293763095249996,0.621635047235224,-4.63406459227811,5.70212487615668e-06,1.26509337959963e-05,2.77891908868948
SCGN,-0.466228140416901,0.739641632844573,-4.6338843399574,5.70671056478814e-06,1.26600488786125e-05,2.77814744257125
AL035587.1,0.317260958875974,2.06839334119507,4.63326959916464,5.72237652557696e-06,1.26937414047043e-05,2.77551597607968
AL627171.2,0.175573268226008,0.928374734566079,4.6328374472265,5.73341419471027e-06,1.27171623822129e-05,2.77366627823417
AC068338.3,-0.305519923864363,1.18626655275239,-4.63262145224034,5.73893864054101e-06,1.2728351703929e-05,2.77274183061539
RNPS1P1,0.211631880470074,0.660486172300377,4.63228285834119,5.747609080726e-06,1.27465160501077e-05,2.77129273919529
MIR3140,-0.200926431896782,0.134595426496663,-4.63083302684021,5.78487802093504e-06,1.28280951666379e-05,2.76508886061293
ATE1,0.382152936096425,4.63027021197357,4.63067081158792,5.78906232052875e-06,1.28363008538281e-05,2.76439483815559
MAFA,-0.422964992791357,0.540151749648219,-4.63059452695325,5.79103106968478e-06,1.28395929584135e-05,2.76406846874305
GABRG1,-0.214161336252678,0.328317648445704,-4.63002297246233,5.80580223273079e-06,1.28712670309584e-05,2.76162332538334
ZNF528-AS1,0.361570338931409,2.93219303776504,4.62992584172025,5.80831606719532e-06,1.28757639978625e-05,2.76120781979448
PAK3,0.546523793501624,1.34501168588263,4.62975482487037,5.81274469011144e-06,1.28845045249349e-05,2.7604762623587
AL035425.1,-0.574235388048678,1.29654685314478,-4.62907143860972,5.83047401356809e-06,1.29227234027329e-05,2.75755317445663
PABPC4-AS1,0.154101883356363,0.365364964935014,4.62854271336035,5.84422662059877e-06,1.29521225948703e-05,2.75529187753374
CENPX,-0.355473407021398,5.35448699597025,-4.62819404289911,5.85331292608855e-06,1.29711761635276e-05,2.75380077372055
PIK3C2A,0.442220548561954,4.85611052621907,4.62755631434393,5.86996724320511e-06,1.30069961651707e-05,2.75107374670232
SSBP2,0.549851207056332,3.77028227385016,4.62753063609035,5.87063878670174e-06,1.300739763248e-05,2.75096394913221
SLC16A2,-0.775589079287699,4.55879360582023,-4.6271790990079,5.87983970404876e-06,1.3026695731195e-05,2.74946086456376
ACACA,0.359171809209236,3.56296865699936,4.62689453996217,5.88729774399173e-06,1.30421296105833e-05,2.74824423205616
IRAIN,0.416807419528331,1.37098571227556,4.62538171873219,5.92710059402011e-06,1.31292083805409e-05,2.74177722602454
AP1G2,0.43039365658028,3.07367682209807,4.62512605700375,5.93385267970632e-06,1.31430674834577e-05,2.74068450036347
M1AP,0.617050788229521,2.35469739764368,4.62444860399927,5.95178019494405e-06,1.31816749980033e-05,2.73778924064161
AL034550.3,0.338640183873735,1.30612282956847,4.62400262933359,5.96361051958295e-06,1.32067734715693e-05,2.73588345560818
AC091868.1,-0.157661877283402,0.209429052825901,-4.62365732962034,5.97278579436868e-06,1.3225988478289e-05,2.73440799200545
